,state,city,fips,city_geolocation,county_geolocation,city_pop
96,Alabama,Birmingham,Alabama 01073,"(33.5275663773, -86.7988174678)","(33.5543, -86.8965)",212237
97,New York,Rochester,New York 36055,"(43.1679802918, -77.6162348882)","(43.1464, -77.6958)",210565
98,California,San Bernardino,California 06059,"(34.1392322844, -117.295272732)","(33.703, -117.7605)",209924
99,Washington,Spokane,Washington 53063,"(47.6736243259, -117.415973291)","(47.6206, -117.404)",208916
100,Arizona,Gilbert,Arizona 04021,"(33.310149392, -111.746237467)","(32.9043, -111.3447)",208453
101,Alabama,Montgomery,Alabama 01101,"(32.3472645333, -86.2677059552)","(32.2202, -86.2076)",205764
102,Idaho,Boise City,Idaho 16001,"(43.5984343897, -116.230885189)","(43.4511, -116.2411)",205671
103,Virginia,Richmond,Virginia 51760,"(37.5293933083, -77.475568168)","(37.5293, -77.4754)",204214
104,Iowa,Des Moines,Iowa 19153,"(41.5741349525, -93.6165066086)","(41.6855, -93.5734)",203433
105,California,Modesto,California 06099,"(37.6615478221, -120.988548061)","(37.5592, -120.9978)",201165
106,North Carolina,Fayetteville,North Carolina 37051,"(35.0851309527, -78.9791676456)","(35.0485, -78.8273)",200564
107,Louisiana,Shreveport,Louisiana 22017,"(32.4671618864, -93.7962236108)","(32.5797, -93.8821)",199311
108,Ohio,Akron,Ohio 39153,"(41.0801444942, -81.5219213688)","(41.1259, -81.5321)",199110
109,Washington,Tacoma,Washington 53053,"(47.2425411445, -122.45447391)","(47.023, -122.102)",198397
110,California,Oxnard,California 06111,"(34.1959237731, -119.18187657)","(34.4567, -119.0835)",197899
111,Illinois,Aurora,Illinois 17043,"(41.7637750837, -88.2900949057)","(41.852, -88.0857)",197899
112,California,Fontana,California 06059,"(34.0974227833, -117.459241285)","(33.703, -117.7605)",196069
113,New York,Yonkers,New York 36005,"(40.9465025597, -73.8636959965)","(40.8527, -73.8669)",195976
114,Georgia,Augusta,Georgia 13245,"(33.3644561527, -82.0708396775)","(33.3596, -82.0735)",195844
115,Alabama,Mobile,Alabama 01097,"(30.6776248648, -88.1184482714)","(30.7943, -88.2018)",195111
116,Arkansas,Little Rock,Arkansas 05119,"(34.7253957894, -92.3583751863)","(34.7699, -92.3117)",193524
117,California,Moreno Valley,California 06059,"(33.9244314112, -117.204501895)","(33.703, -117.7605)",193365
118,California,Glendale,California 06037,"(34.181889373, -118.24676666)","(34.3203, -118.2252)",191719
119,Texas,Amarillo,Texas 48375,"(35.2003835544, -101.828292514)","(35.4013, -101.894)",190695
120,California,Huntington Beach,California 06059,"(33.6952749077, -118.001810806)","(33.703, -117.7605)",189992
121,Georgia,Columbus,Georgia 13215,"(32.5099614852, -84.8770410586)","(32.51, -84.877)",189885
122,Michigan,Grand Rapids,Michigan 26081,"(42.9614815414, -85.6556858473)","(43.0322, -85.5492)",188040
123,Utah,Salt Lake City,Utah 49035,"(40.7778489465, -111.931220784)","(40.6676, -111.9239)",186440
124,Florida,Tallahassee,Florida 12073,"(30.4548951211, -84.2526459938)","(30.4581, -84.2778)",181376
125,Massachusetts,Worcester,Massachusetts 25027,"(42.2705425446, -71.8079404584)","(42.3514, -71.9077)",181045
126,Virginia,Newport News,Virginia 51700,"(37.1051141309, -76.5182644502)","(37.1051, -76.5189)",180719
127,Alabama,Huntsville,Alabama 01089,"(34.6989692671, -86.6387042882)","(34.7631, -86.5502)",180105
128,Tennessee,Knoxville,Tennessee 47093,"(35.9690594531, -83.9495877264)","(35.9932, -83.9371)",178874
129,Rhode Island,Providence,Rhode Island 44007,"(41.823480533, -71.4218129335)","(41.8724, -71.5811)",178042
130,California,Santa Clarita,California 06037,"(34.4119039185, -118.503504698)","(34.3203, -118.2252)",176320
131,Texas,Grand Prairie,Texas 48113,"(32.6867650238, -97.0209311916)","(32.7666, -96.7779)",175396
132,Texas,Brownsville,Texas 48061,"(25.9981977861, -97.4566343763)","(26.1293, -97.5292)",175023
133,Mississippi,Jackson,Mississippi 28049,"(32.31627222, -90.2124528561)","(32.2667, -90.4427)",173514
134,Kansas,Overland Park,Kansas 20091,"(38.8872922575, -94.6872267067)","(38.8838, -94.8223)",173372
135,California,Garden Grove,California 06059,"(33.7786940635, -117.960111162)","(33.703, -117.7605)",170883
136,California,Santa Rosa,California 06097,"(38.4464423102, -122.706005935)","(38.5286, -122.8873)",167815
137,Tennessee,Chattanooga,Tennessee 47065,"(35.0662472165, -85.2466771892)","(35.1809, -85.1648)",167674
138,California,Oceanside,California 06073,"(33.2247457474, -117.308200285)","(33.0354, -116.7335)",167086
139,Florida,Fort Lauderdale,Florida 12011,"(26.1418205174, -80.1471225502)","(26.1519, -80.4886)",165521
140,California,Rancho Cucamonga,California 06059,"(34.1245895555, -117.56617587)","(33.703, -117.7605)",165269
141,Florida,Port St. Lucie,Florida 12111,"(27.2808680308, -80.3832154574)","(27.3764, -80.4836)",164603
142,California,Ontario,California 06059,"(34.0392649464, -117.606427103)","(33.703, -117.7605)",163924
143,Washington,Vancouver,Washington 53011,"(45.6357172365, -122.598539476)","(45.7793, -122.4826)",161791
144,Arizona,Tempe,Arizona 04013,"(33.3882640307, -111.931802302)","(33.3488, -112.4912)",161719
145,Missouri,Springfield,Missouri 29077,"(37.1942661484, -93.2914273656)","(37.2581, -93.342)",159498
146,California,Lancaster,California 06037,"(34.6934347017, -118.175306356)","(34.3203, -118.2252)",156633
147,Oregon,Eugene,Oregon 41039,"(44.0559363346, -123.117327584)","(43.9386, -122.847)",156185
148,Florida,Pembroke Pines,Florida 12011,"(26.0127387534, -80.3384522664)","(26.1519, -80.4886)",154750
149,Oregon,Salem,Oregon 41053,"(44.923273154, -123.0248671)","(44.9034, -123.4134)",154637
150,Florida,Cape Coral,Florida 12071,"(26.6448544993, -81.9931108298)","(26.5786, -81.821)",154305
151,Arizona,Peoria,Arizona 04013,"(33.7847206422, -112.298680584)","(33.3488, -112.4912)",154065
152,South Dakota,Sioux Falls,South Dakota 46099,"(43.5388067537, -96.7313495858)","(43.6742, -96.7914)",153888
153,Massachusetts,Springfield,Massachusetts 25013,"(42.1154977999, -72.5395254143)","(42.1351, -72.6316)",153060
154,California,Elk Grove,California 06067,"(38.4159992006, -121.384137762)","(38.4542, -121.3384)",153015
155,Illinois,Rockford,Illinois 17201,"(42.2633180015, -89.0625958362)","(42.3363, -89.1609)",152871
156,California,Palmdale,California 06037,"(34.5944899803, -118.105772328)","(34.3203, -118.2252)",152750
157,California,Corona,California 06059,"(33.8623571787, -117.564224471)","(33.703, -117.7605)",152374
158,California,Salinas,California 06069,"(36.6889174321, -121.631811961)","(36.6057, -121.075)",150441
159,California,Pomona,California 06059,"(34.0585026366, -117.762551658)","(33.703, -117.7605)",149058
160,Texas,Pasadena,Texas 48201,"(29.6589511488, -95.1509173148)","(29.8588, -95.3963)",149043
161,Illinois,Joliet,Illinois 17197,"(41.5206390037, -88.1507097756)","(41.445, -87.9787)",147433
162,New Jersey,Paterson,New Jersey 34031,"(40.9146874977, -74.1624181271)","(41.0337, -74.3003)",146199
163,Kansas,Kansas City,Kansas 20209,"(39.1234621409, -94.7441921112)","(39.1145, -94.7646)",145786
164,California,Torrance,California 06037,"(33.8345985464, -118.341641983)","(34.3203, -118.2252)",145438
165,New York,Syracuse,New York 36067,"(43.0409202097, -76.1437679213)","(43.0058, -76.1946)",145170
166,Connecticut,Bridgeport,Connecticut 09001,"(41.1928054233, -73.196054694)","(41.2731, -73.3887)",144229
167,California,Hayward,California 06001,"(37.6329591551, -122.077051051)","(37.6466, -121.886)",144186
168,Colorado,Fort Collins,Colorado 08069,"(40.5487758924, -105.065904872)","(40.6664, -105.4612)",143986
169,California,Escondido,California 06073,"(33.1346952955, -117.072122618)","(33.0354, -116.7335)",143911
170,Colorado,Lakewood,Colorado 08059,"(39.6976734462, -105.116965444)","(39.5865, -105.2506)",142980
171,Illinois,Naperville,Illinois 17043,"(41.7482001145, -88.1657705099)","(41.852, -88.0857)",141853
172,Ohio,Dayton,Ohio 39113,"(39.779768039, -84.1997930517)","(39.7545, -84.2906)",141527
173,Florida,Hollywood,Florida 12011,"(26.0287025703, -80.1683976059)","(26.1519, -80.4886)",140768
174,California,Sunnyvale,California 06081,"(37.3834416566, -122.025624324)","(37.4218, -122.3293)",140081
175,Virginia,Alexandria,Virginia 51510,"(38.8187351557, -77.0867762661)","(38.8185, -77.0861)",139966
176,Texas,Mesquite,Texas 48113,"(32.7641310166, -96.5927445114)","(32.7666, -96.7779)",139824
177,Virginia,Hampton,Virginia 51650,"(37.0533009025, -76.3665945624)","(37.0958, -76.3307)",137436
178,California,Pasadena,California 06037,"(34.1597634806, -118.138921644)","(34.3203, -118.2252)",137122
179,California,Orange,California 06059,"(33.8046419567, -117.8231855)","(33.703, -117.7605)",136416
180,Georgia,Savannah,Georgia 13051,"(32.0283615157, -81.1783435493)","(32.0099, -81.1416)",136286
181,North Carolina,Cary,North Carolina 37183,"(35.7814978722, -78.8152191642)","(35.7901, -78.6504)",135234
182,California,Fullerton,California 06059,"(33.8840378013, -117.927850895)","(33.703, -117.7605)",135161
183,Michigan,Warren,Michigan 26099,"(42.4934233034, -83.0270075248)","(42.6956, -82.9322)",134056
184,Tennessee,Clarksville,Tennessee 47125,"(36.569683159, -87.3432371614)","(36.4969, -87.3828)",132929
185,Texas,McKinney,Texas 48085,"(33.1988886952, -96.6677029773)","(33.1878, -96.5724)",131117
186,Texas,McAllen,Texas 48215,"(26.2186289942, -98.2451704536)","(26.3968, -98.1811)",129877
187,Connecticut,New Haven,Connecticut 09009,"(41.3113869392, -72.9247595793)","(41.4108, -72.9324)",129779
188,Michigan,Sterling Heights,Michigan 26099,"(42.580985283, -83.0303680858)","(42.6956, -82.9322)",129699
189,Utah,West Valley City,Utah 49035,"(40.6887696962, -112.011667394)","(40.6676, -111.9239)",129480
190,South Carolina,Columbia,South Carolina 45079,"(34.0366069566, -80.9037852694)","(34.0218, -80.9031)",129272
191,Texas,Killeen,Texas 48027,"(31.0757648143, -97.7285651299)","(31.0377, -97.4782)",127921
192,Kansas,Topeka,Kansas 20177,"(39.0359549911, -95.6954155341)","(39.0415, -95.7564)",127473
193,California,Thousand Oaks,California 06111,"(34.1917745655, -118.874888411)","(34.4567, -119.0835)",126683
194,Iowa,Cedar Rapids,Iowa 19113,"(41.966729258, -91.6781679349)","(42.0789, -91.5989)",126326
195,Kansas,Olathe,Kansas 20091,"(38.884693021, -94.8192070197)","(38.8838, -94.8223)",125872
196,New Jersey,Elizabeth,New Jersey 34039,"(40.6664447729, -74.1938679138)","(40.6572, -74.1597)",124969
197,Texas,Waco,Texas 48309,"(31.5597607137, -97.1883333282)","(31.5524, -97.2018)",124805
198,Connecticut,Hartford,Connecticut 09003,"(41.7660706419, -72.6834012389)","(41.8064, -72.7328)",124775
199,California,Visalia,California 06107,"(36.3270623157, -119.325273214)","(36.2201, -118.8005)",124442
200,Florida,Gainesville,Florida 12001,"(29.6817027431, -82.345278266)","(29.6749, -82.3576)",124354
201,California,Simi Valley,California 06111,"(34.2662462857, -118.748980462)","(34.4567, -119.0835)",124237
202,Connecticut,Stamford,Connecticut 09001,"(41.1049145013, -73.5589363142)","(41.2731, -73.3887)",122643
203,Washington,Bellevue,Washington 53033,"(47.5962437606, -122.153569982)","(47.4902, -121.8048)",122363
204,California,Concord,California 06013,"(37.9721810307, -122.001588036)","(37.9163, -121.9276)",122067
205,Florida,Miramar,Florida 12011,"(25.9773288233, -80.3357316003)","(26.1519, -80.4886)",122041
206,Florida,Coral Springs,Florida 12011,"(26.2701700158, -80.2592221493)","(26.1519, -80.4886)",121096
207,Louisiana,Lafayette,Louisiana 22055,"(30.2120582815, -92.0317532321)","(30.2063, -92.0639)",120623
208,South Carolina,Charleston,South Carolina 45019,"(32.8136961892, -79.967381899)","(32.6714, -80.1831)",120083
209,Texas,Carrollton,Texas 48113,"(32.988438459, -96.900137433)","(32.7666, -96.7779)",119097
210,California,Roseville,California 06067,"(38.7657516182, -121.302847708)","(38.4542, -121.3384)",118788
211,Colorado,Thornton,Colorado 08014,"(39.9193994188, -104.944956758)","(39.954, -105.0525)",118772
212,Texas,Beaumont,Texas 48245,"(30.084416647, -94.1441072222)","(29.8838, -94.1722)",118296
213,Pennsylvania,Allentown,Pennsylvania 42077,"(40.596099618, -75.4755373968)","(40.6129, -75.5924)",118032
214,Arizona,Surprise,Arizona 04013,"(33.6803835177, -112.452218439)","(33.3488, -112.4912)",117517
215,Indiana,Evansville,Indiana 18163,"(37.9867158026, -87.538270731)","(38.0254, -87.5857)",117429
216,Texas,Abilene,Texas 48441,"(32.4546510898, -99.7383043723)","(32.3015, -99.8901)",117063
217,Texas,Frisco,Texas 48085,"(33.1507545152, -96.8201336312)","(33.1878, -96.5724)",116989
218,Missouri,Independence,Missouri 29095,"(39.0870794771, -94.3502748237)","(39.0085, -94.3461)",116830
219,California,Santa Clara,California 06085,"(37.3646197504, -121.967932117)","(37.2325, -121.6963)",116468
220,Illinois,Springfield,Illinois 17167,"(39.7716473322, -89.6540780049)","(39.7582, -89.6589)",116250
221,California,Vallejo,California 06095,"(38.1135329247, -122.235518478)","(38.2805, -121.9266)",115942
222,California,Victorville,California 06037,"(34.5277691103, -117.353855136)","(34.3203, -118.2252)",115903
223,Georgia,Athens,Georgia 13059,"(33.9508170683, -83.3689417445)","(33.9513, -83.3675)",115452
224,Illinois,Peoria,Illinois 17143,"(40.7515684146, -89.615255458)","(40.7881, -89.76)",115007
225,Michigan,Lansing,Michigan 26065,"(42.7090711751, -84.5584470022)","(42.5971, -84.3736)",114297
226,Michigan,Ann Arbor,Michigan 26161,"(42.2756833567, -83.7311374448)","(42.2534, -83.8384)",113934
227,California,El Monte,California 06037,"(34.073919653, -118.029071951)","(34.3203, -118.2252)",113475
228,Texas,Denton,Texas 48121,"(33.2156160443, -97.1412438684)","(33.2043, -97.1171)",113383
229,California,Berkeley,California 06075,"(37.8725678765, -122.274907975)","(37.7558, -122.4424)",112580
230,Utah,Provo,Utah 49049,"(40.2457185288, -111.645715857)","(40.1196, -111.6706)",112488
231,California,Downey,California 06059,"(33.937867256, -118.131150116)","(33.703, -117.7605)",111772
232,Texas,Midland,Texas 48329,"(32.0285948356, -102.109700973)","(31.8692, -102.0316)",111147
233,Oklahoma,Norman,Oklahoma 40027,"(35.2335032647, -97.3470413838)","(35.2036, -97.3271)",110925
234,Connecticut,Waterbury,Connecticut 09009,"(41.5582443266, -73.036129832)","(41.4108, -72.9324)",110366
235,California,Costa Mesa,California 06059,"(33.6667651353, -117.91350475)","(33.703, -117.7605)",109960
236,California,Inglewood,California 06037,"(33.9565748018, -118.344444926)","(34.3203, -118.2252)",109673
237,New Hampshire,Manchester,New Hampshire 33011,"(42.9844541713, -71.4445313287)","(42.9153, -71.716)",109565
238,Tennessee,Murfreesboro,Tennessee 47149,"(35.850778195, -86.408628238)","(35.8427, -86.4167)",108755
239,Missouri,Columbia,Missouri 29019,"(38.9481109651, -92.3260129764)","(38.9907, -92.3096)",108500
240,Illinois,Elgin,Illinois 17089,"(42.0385402472, -88.3224947104)","(41.939, -88.4287)",108188
241,Florida,Clearwater,Florida 12103,"(27.9805997919, -82.7544099135)","(27.928, -82.722)",107685
242,Florida,Miami Gardens,Florida 12011,"(25.9432633871, -80.2425332162)","(26.1519, -80.4886)",107167
243,Minnesota,Rochester,Minnesota 27109,"(44.0150574384, -92.4775005494)","(44.0036, -92.4018)",106769
244,Colorado,Pueblo,Colorado 08101,"(38.2733957251, -104.612001218)","(38.1734, -104.5128)",106595
245,Massachusetts,Lowell,Massachusetts 25017,"(42.6388727331, -71.321714396)","(42.4855, -71.3918)",106519
246,North Carolina,Wilmington,North Carolina 37129,"(34.2102758569, -77.8872842368)","(34.1047, -77.8921)",106476
247,California,San Buenaventura (Ventura),California 06111,"(34.2743610206, -119.231436551)","(34.4567, -119.0835)",106433
248,Colorado,Arvada,Colorado 08014,"(39.8308263293, -105.146327974)","(39.954, -105.0525)",106433
249,Colorado,Westminster,Colorado 08014,"(39.8838511475, -105.062645316)","(39.954, -105.0525)",106114
250,California,West Covina,California 06037,"(34.0554415174, -117.91128206)","(34.3203, -118.2252)",106098
251,Oregon,Gresham,Oregon 41051,"(45.5024256798, -122.441469029)","(45.5469, -122.4157)",105594
252,North Dakota,Fargo,North Dakota 38017,"(46.8652457832, -96.8289882328)","(46.933, -97.2481)",105549
253,California,Norwalk,California 06059,"(33.9068808228, -118.082915204)","(33.703, -117.7605)",105549
254,California,Carlsbad,California 06073,"(33.1248051026, -117.282903303)","(33.0354, -116.7335)",105328
255,California,Fairfield,California 06095,"(38.2558446343, -122.039303253)","(38.2805, -121.9266)",105321
256,Massachusetts,Cambridge,Massachusetts 25025,"(42.3758188051, -71.1183992378)","(42.3308, -71.0818)",105162
257,Texas,Wichita Falls,Texas 48485,"(33.9072739838, -98.5292981697)","(33.988, -98.7032)",104553
258,North Carolina,High Point,North Carolina 37081,"(35.9881243803, -79.9932956384)","(36.0794, -79.789)",104371
259,Montana,Billings,Montana 30111,"(45.7893102609, -108.54882784)","(45.9372, -108.2744)",104170
260,Wisconsin,Green Bay,Wisconsin 55009,"(44.5149847816, -87.9896195955)","(44.4537, -88.0032)",104057
261,Utah,West Jordan,Utah 49035,"(40.6022598635, -112.000961848)","(40.6676, -111.9239)",103712
262,California,Richmond,California 06075,"(37.9479710365, -122.336803759)","(37.7558, -122.4424)",103701
263,California,Murrieta,California 06059,"(33.5719743356, -117.190921143)","(33.703, -117.7605)",103466
